DATE,AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,EURAUD,EURCAD,EURCHF,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY,XAUUSD,,Unit,AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,EURAUD,EURCAD,EURCHF,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY,XAUUSD,,AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,EURAUD,EURCAD,EURCHF,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY,XAUUSD,,position Value,Change per day,Direction,,,
2010.05.26,0.8794,0.95304,73.826,1.23784,0.82132,1.4821,1.3034,1.41294,109.438,1.83509,1.21753,1.75051,1.54024,1.66939,129.297,2.16899,1.43861,0.71086,0.77118,59.79,0.66284,1.07085,1.16053,89.885,1211.39,,1000,879.4,953.04,73826,1237.84,821.32,1482.1,1303.4,1412.94,109438,1835.09,1217.53,1750.51,1540.24,1669.39,129297,2168.99,1438.61,710.86,771.18,59790,662.84,1070.85,1160.53,89885,1211390,,821.2167904,821.2109984,821.3383768,820.4898656,821.32,1217.278372,1217.163935,1217.495455,1217.533515,1216.371056,1217.53,1437.728873,1438.334034,1438.472077,1438.47138,1437.693332,1438.61,663.8278003,664.506734,665.1832898,662.84,1000,1000,1000,1211.39,,26906.00588,,,,,
2010.05.27,0.89197,0.97949,77.484,1.24411,0.85119,1.4517,1.29508,1.42264,112.53,1.80691,1.23608,1.7121,1.52797,1.67805,132.719,2.13154,1.45806,0.71669,0.78641,62.114,0.68352,1.04806,1.15089,91.034,1212.27,,,891.97,979.49,77484,1244.11,851.19,1451.7,1295.08,1422.64,112530,1806.91,1236.08,1712.1,1527.97,1678.05,132719,2131.54,1458.06,716.69,786.41,62114,683.52,1048.06,1150.89,91034,1212270,,851.067687,851.0717792,851.1545137,850.3740672,851.19,1235.672523,1235.692613,1236.12161,1236.131555,1235.059123,1236.08,1457.322399,1457.903173,1458.045513,1457.905837,1456.950221,1458.06,683.8253535,683.3059632,682.3164971,683.52,1000,1000,1000,1212.27,,27361.04043,455.034545,1,,MAX,981.3966605
2010.05.28,0.89326,0.98168,77.131,1.2468,0.84716,1.4476,1.29393,1.42239,111.749,1.80629,1.22732,1.70575,1.52411,1.67526,131.607,2.12757,1.44562,0.71517,0.78616,61.781,0.6787,1.05449,1.15892,91.051,1214.05,,,893.26,981.68,77131,1246.8,847.16,1447.6,1293.93,1422.39,111749,1806.29,1227.32,1705.75,1524.11,1675.26,131607,2127.57,1445.62,715.17,786.16,61781,678.7,1054.49,1158.92,91051,1214050,,847.1014424,847.0645083,847.1186478,846.20316,847.16,1226.348816,1227.067113,1227.340973,1227.323149,1225.929023,1227.32,1445.04317,1445.35273,1445.535499,1445.420698,1443.981759,1445.62,678.214113,678.3557105,678.5318118,678.7,1000,1000,1000,1214.05,,27194.78232,-166.2581062,0,,MIN,-1331.052984
2010.05.31,0.88307,0.97622,77.178,1.24201,0.84567,1.4545,1.28466,1.42065,112.304,1.80723,1.23048,1.71787,1.51773,1.67821,132.645,2.13384,1.45357,0.71057,0.78687,62.112,0.68019,1.04434,1.15462,91.263,1216,,,883.07,976.22,77178,1242.01,845.67,1454.5,1284.66,1420.65,112304,1807.23,1230.48,1717.87,1517.73,1678.21,132645,2133.84,1453.57,710.57,786.87,62112,680.19,1044.34,1154.62,91263,1216000,,845.5771109,845.4902912,845.665823,844.8027819,845.67,1230.027015,1230.116629,1230.404809,1230.553455,1229.259774,1230.48,1452.751123,1453.291074,1453.47387,1453.436771,1451.41663,1453.57,680.4010188,681.4969427,680.5824924,680.19,1000,1000,1000,1216,,27264.65761,69.87528659,1,,AVERAGE,-0.204368481
2010.06.01,0.8768,0.96102,75.56,1.23026,0.83094,1.471,1.29005,1.4147,111.198,1.81083,1.22273,1.76202,1.54541,1.69456,133.19,2.16937,1.46489,0.71164,0.78111,61.416,0.67475,1.05536,1.15691,90.935,1225.47,,,876.8,961.02,75560,1230.26,830.94,1471,1290.05,1414.7,111198,1810.83,1222.73,1762.02,1545.41,1694.56,133190,2169.37,1464.89,711.64,781.11,61416,674.75,1055.36,1156.91,90935,1225470,,830.8065494,830.6782723,830.9231869,830.117935,830.94,1222.31274,1222.379093,1222.826322,1222.829494,1221.857543,1222.73,1464.132899,1464.343921,1464.729322,1464.672568,1463.782408,1464.89,674.310188,675.1692007,675.3835157,674.75,1000,1000,1000,1225.47,,27200.03516,-64.62245266,0,,,
2010.06.02,0.87394,0.97198,77.552,1.23399,0.84191,1.4544,1.27119,1.41447,112.826,1.79602,1.22484,1.7393,1.52079,1.69166,134.942,2.14833,1.46503,0.70702,0.78619,62.799,0.68145,1.03817,1.1547,92.117,1223.24,,,873.94,971.98,77552,1233.99,841.91,1454.4,1271.19,1414.47,112826,1796.02,1224.84,1739.3,1520.79,1691.66,134942,2148.33,1465.03,707.02,786.19,62799,681.45,1038.17,1154.7,92117,1223240,,841.8081817,841.7597644,841.8858625,840.9024855,841.91,1224.473904,1224.452643,1224.967524,1224.811924,1223.897829,1224.84,1464.334063,1464.875695,1465.021218,1464.897902,1463.979479,1465.03,681.0252656,680.8608297,681.7308423,681.45,1000,1000,1000,1223.24,,27292.15541,92.12025424,1,,,
2010.06.03,0.87839,0.97657,78.294,1.23278,0.84465,1.4393,1.26451,1.40644,112.739,1.77543,1.21613,1.72899,1.51974,1.68972,135.445,2.13271,1.46127,0.71043,0.78974,63.205,0.68446,1.04009,1.15636,92.698,1206.36,,,878.39,976.57,78294,1232.78,844.65,1439.3,1264.51,1406.44,112739,1775.43,1216.13,1728.99,1519.74,1689.72,135445,2132.71,1461.27,710.43,789.74,63205,684.46,1040.09,1156.36,92698,1206360,,844.5326847,844.5207375,844.6136918,843.7885988,844.65,1215.704745,1215.769789,1216.264831,1216.196682,1215.210818,1216.13,1460.391404,1461.162015,1461.240444,1461.142635,1459.754687,1461.27,683.0466594,682.9534055,681.8377959,684.46,1000,1000,1000,1206.36,,27221.00162,-71.15378833,0,,,
2010.06.04,0.87445,0.95657,75.636,1.22612,0.82314,1.4553,1.27116,1.3915,109.973,1.78311,1.19676,1.75485,1.53551,1.68029,132.799,2.1536,1.44537,0.71214,0.77908,61.579,0.67046,1.06252,1.16258,91.885,1219.58,,,874.45,956.57,75636,1226.12,823.14,1455.3,1271.16,1391.5,109973,1783.11,1196.76,1754.85,1535.51,1680.29,132799,2153.6,1445.37,712.14,779.08,61579,670.46,1062.52,1162.58,91885,1219580,,822.996273,822.7992912,823.159384,822.0644152,823.14,1197.915642,1196.363363,1196.90688,1196.854764,1195.503931,1196.76,1444.487229,1445.158679,1445.31129,1445.273984,1443.902656,1445.37,670.2367955,670.1302276,670.1746749,670.46,1000,1000,1000,1219.58,,26864.54948,-356.4521437,0,,,
2010.06.07,0.85994,0.94202,74.017,1.22917,0.8102,1.4711,1.26519,1.38669,108.932,1.80903,1.19226,1.78475,1.5356,1.68234,132.148,2.19427,1.44661,0.69825,0.76564,60.208,0.65844,1.06151,1.16296,91.359,1240.05,,,859.94,942.02,74017,1229.17,810.2,1471.1,1265.19,1386.69,108932,1809.03,1192.26,1784.75,1535.6,1682.34,132148,2194.27,1446.61,698.25,765.64,60208,658.44,1061.51,1162.96,91359,1240050,,810.1101261,810.0192612,810.1774319,809.3346948,810.2,1191.88522,1191.877608,1192.37979,1192.351055,1191.137713,1192.26,1446.00445,1446.618496,1446.601775,1446.469423,1444.795139,1446.61,657.7893755,658.3545436,659.026478,658.44,1000,1000,1000,1240.05,,26752.49258,-112.0568994,0,,,
2010.06.08,0.86668,0.95364,75.685,1.23939,0.82763,1.4461,1.25364,1.37989,109.491,1.79338,1.19729,1.74734,1.51518,1.66738,132.298,2.16617,1.44683,0.69842,0.7688,61.023,0.66698,1.04732,1.15241,91.447,1236.39,,,866.68,953.64,75685,1239.39,827.63,1446.1,1253.64,1379.89,109491,1793.38,1197.29,1747.34,1515.18,1667.38,132298,2166.17,1446.83,698.42,768.8,61023,666.98,1047.32,1152.41,91447,1236390,,827.5216744,827.5179841,827.6378667,826.6483422,827.63,1196.835743,1196.998052,1197.395024,1197.316478,1196.148592,1197.29,1446.151004,1446.721155,1446.863529,1446.717771,1444.792067,1446.83,666.8639957,667.1236799,667.3045589,666.98,1000,1000,1000,1236.39,,26901.67752,149.184939,1,,,
